organizaca;participante;dataMovimentoC420;dataMovimentoC490;valorTotalNFeC420;valorTotalNFeC490;operacao;emissao;modFrete;satECF;quantidade;valorTotalC420;valorTotalC490;cstICMS;CFOP;sufixoCFOP;aliquotaICMS;baseICMS;valorICMS
42591651055479;CONSUMIDORFINAL3136702;5012018;5012018;263;263;Saida;Propria;Sem cobranca de frete;25;1.0;250;250;0;5102;X.102;8.4;250.00;21
42591651055479;CONSUMIDORFINAL3136702;5012018;;263;0;Saida;Propria;Sem cobranca de frete;25;1.0;13;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;6012018;6012018;62;62;Saida;Propria;Sem cobranca de frete;25;1.0;62;62;0;5102;X.102;8.4;62.00;5,21
42591651055479;CONSUMIDORFINAL3136702;8012018;8012018;52;52;Saida;Propria;Sem cobranca de frete;25;1.0;43;43;0;5102;X.102;8.4;43.00;3,61
42591651055479;CONSUMIDORFINAL3136702;8012018;;52;0;Saida;Propria;Sem cobranca de frete;25;1.0;9;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;9012018;9012018;59,5;59,5;Saida;Propria;Sem cobranca de frete;25;1.0;59,5;59,5;0;5102;X.102;8.4;59.50;5
42591651055479;CONSUMIDORFINAL3136702;10012018;;7;0;Saida;Propria;Sem cobranca de frete;25;1.0;7;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;11012018;11012018;241;241;Saida;Propria;Sem cobranca de frete;25;1.0;211;211;0;5102;X.102;8.4;211.00;17,72
42591651055479;CONSUMIDORFINAL3136702;11012018;;241;0;Saida;Propria;Sem cobranca de frete;25;1.0;30;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;12012018;12012018;420,5;420,5;Saida;Propria;Sem cobranca de frete;25;1.0;414,5;414,5;0;5102;X.102;8.4;414.50;34,82
42591651055479;CONSUMIDORFINAL3136702;12012018;12012018;420,5;420,5;Saida;Propria;Sem cobranca de frete;25;1.0;6;6;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;13012018;13012018;76;76;Saida;Propria;Sem cobranca de frete;25;1.0;6;6;0;5102;X.102;8.4;6.00;0,5
42591651055479;CONSUMIDORFINAL3136702;13012018;;76;0;Saida;Propria;Sem cobranca de frete;25;1.0;70;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;16012018;16012018;337,5;337,5;Saida;Propria;Sem cobranca de frete;25;1.0;334,5;334,5;0;5102;X.102;8.4;334.50;28,1
42591651055479;CONSUMIDORFINAL3136702;16012018;16012018;337,5;337,5;Saida;Propria;Sem cobranca de frete;25;1.0;3;3;60;5405;X.405;0.0;0.00;0
