IdOrganizacao;IdParticipante;IdCfop;IdModelo;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;CstICMS;AliquotaIcms;TipoDoFrete;SufixoDoCFOP;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem;ValorIcms;BaseDeCalculoIcms
42591651055479;CONSUMIDORFINAL3136702;5405;2D;8012018;8161,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;3541,4;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;8012018;8161,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;4080,4;342,75;4080,4
42591651055479;CONSUMIDORFINAL3136702;5102;2D;9012018;8202;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;4138,4;347,63;4138,4
42591651055479;CONSUMIDORFINAL3136702;5405;2D;9012018;8202;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;3821,2;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;10012018;8560,3;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;3938,3;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;10012018;8560,3;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;4310,8;362,11;4310,8
42591651055479;CONSUMIDORFINAL3136702;5405;2D;11012018;7000;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;3110,8;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;11012018;7000;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;3573,1;300,14;3573,1
42591651055479;CONSUMIDORFINAL3136702;5102;2D;12012018;9002,8;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;4107,1;345;4107,1
42591651055479;CONSUMIDORFINAL3136702;5405;2D;12012018;9002,8;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;4433,6;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;13012018;7368,8;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;3549,1;298,12;3549,1
42591651055479;CONSUMIDORFINAL3136702;5405;2D;13012018;7368,8;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;3385,5;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;14012018;12230,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;5938,5;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;14012018;12230,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;5875,6;493,55;5875,6
42591651055479;CONSUMIDORFINAL3136702;5102;2D;15012018;4055,8;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;1908,3;160,3;1908,3
42591651055479;CONSUMIDORFINAL3136702;5405;2D;15012018;4055,8;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;2037,9;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;16012018;6429,25;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;3281,3;275,63;3281,3
42591651055479;CONSUMIDORFINAL3136702;5405;2D;16012018;6429,25;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;2927,8;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;17012018;8719,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;3934;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;17012018;8719,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;4449,7;373,77;4449,7
42591651055479;CONSUMIDORFINAL3136702;5102;2D;18012018;6140,7;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;3102,3;260,59;3102,3
42591651055479;CONSUMIDORFINAL3136702;5405;2D;18012018;6140,7;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;2922,1;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;19012018;8934,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;4489,9;377,15;4489,9
42591651055479;CONSUMIDORFINAL3136702;5405;2D;19012018;8934,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;4117,8;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;20012018;7768,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;3947,6;331,6;3947,6
42591651055479;CONSUMIDORFINAL3136702;5405;2D;20012018;7768,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;3784,4;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;21012018;11012,8;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;5565,2;467,48;5565,2
42591651055479;CONSUMIDORFINAL3136702;5405;2D;21012018;11012,8;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;5092,6;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;22012018;5697,2;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;33;1;2677,8;224,94;2677,8
42591651055479;CONSUMIDORFINAL3136702;5405;2D;22012018;5697,2;Saida;Propria;60;0;Sem cobranca de frete;X.405;33;1;2687,8;0;0
